lat,lon,name,address,station_id,rental_uris.ios,rental_uris.web,rental_uris.android,parking_hoop,parking_type,contact_phone,vehicle_capacity,is_charging_station
35.792519,139.569934,オーケー新座野火止店,埼玉県新座市野火止１丁目１３−１３,14262,https://www.hellocycling.jp/app/port/detail/14262?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14262?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14262?referrer=odpt,false,street_parking,+8105038218282,14,false
35.6129441,140.1274522,グランティック ヴィレッタ,千葉県千葉市中央区道場北1丁目4番31-5号,14263,https://www.hellocycling.jp/app/port/detail/14263?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14263?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14263?referrer=odpt,false,street_parking,+8105038218282,3,false
35.7039867,139.9837029,ユニマットパーキング船橋第1,千葉県船橋市本町７丁目10−2,14264,https://www.hellocycling.jp/app/port/detail/14264?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14264?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14264?referrer=odpt,false,street_parking,+8105038218282,14,false
35.7333561,140.0733414,マルハン八千代緑が丘店,千葉県八千代市緑が丘西2丁目13番地3,14265,https://www.hellocycling.jp/app/port/detail/14265?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14265?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14265?referrer=odpt,false,street_parking,+8105038218282,10,false
34.643977082637,135.12379467487,須磨海浜公園　松の社ヴィレッジ駐輪場,兵庫県神戸市須磨区須磨浦通１丁目１,14266,https://www.hellocycling.jp/app/port/detail/14266?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14266?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14266?referrer=odpt,false,street_parking,+8105038218282,5,false
34.643703457076,135.12233555317,須磨海浜公園　コミュニティ広場,兵庫県神戸市須磨区須磨浦通１丁目１-1,14267,https://www.hellocycling.jp/app/port/detail/14267?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14267?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14267?referrer=odpt,false,street_parking,+8105038218282,5,false
35.554441379285,139.65512126684,慶應義塾大学矢上キャンパスバイク置き場,神奈川県横浜市港北区日吉3-18-40,14268,https://www.hellocycling.jp/app/port/detail/14268?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14268?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14268?referrer=odpt,false,street_parking,+8105038218282,10,false
34.64216688,135.5881584,kurarucafe前,大阪府東大阪市友井４丁目１−１３,14269,https://www.hellocycling.jp/app/port/detail/14269?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14269?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14269?referrer=odpt,false,street_parking,+8105038218282,3,false
35.7587763,139.8540852,葛飾区青戸,東京都葛飾区青戸８丁目２６−４,14270,https://www.hellocycling.jp/app/port/detail/14270?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14270?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14270?referrer=odpt,false,street_parking,+8105038218282,10,false
35.7146515,139.8217743,墨田区京島,東京都墨田区京島３丁目３５−５,14271,https://www.hellocycling.jp/app/port/detail/14271?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14271?referrer=odpt,https://www.hellocycling.jp/app/port/detail/14271?referrer=odpt,false,street_parking,+8105038218282,10,false
